experiment,instance_id,cost,summary_cost,has_summary,summary_count,turn_count,mean_reasoning_tokens,mean_completion_tokens,mean_prompt_tokens,outcome,strategy,scaffold
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,matplotlib__matplotlib-25311,0.6329,0.0,False,0,44,22,159,37710,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14311,1.8312,0.0,False,0,82,13,383,57839,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,matplotlib__matplotlib-23314,3.5786,0.0,False,0,119,4,263,79266,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,psf__requests-5414,0.5724,0.0,False,0,49,11,252,30288,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14376,0.605,0.0,False,0,42,13,127,39054,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,astropy__astropy-12907,0.1306,0.0,False,0,14,44,334,24999,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,astropy__astropy-7606,0.2226,0.0,False,0,19,19,222,33036,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-12325,1.4824,0.0,False,0,83,6,376,47441,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pylint-dev__pylint-4970,5.8567,0.0,False,0,131,3,924,116277,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-24661,0.3141,0.0,False,0,27,56,191,33532,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,scikit-learn__scikit-learn-14496,0.3938,0.0,False,0,27,16,220,39521,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14559,2.1533,0.0,False,0,94,0,274,74074,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-11964,0.7988,0.0,False,0,70,10,171,30487,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,matplotlib__matplotlib-21568,9.2821,0.0,False,0,236,6,217,105428,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pydata__xarray-7233,1.1388,0.0,False,0,49,7,560,59401,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14534,3.0005,0.0,False,0,102,6,587,76304,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-15957,6.0949,0.0,False,0,248,9,208,64456,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,matplotlib__matplotlib-25479,1.3029,0.0,False,0,57,97,537,62720,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sphinx-doc__sphinx-9591,0.2945,0.0,False,0,26,28,250,30253,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-17084,6.5113,0.0,False,0,164,1,187,107485,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-13091,0.1451,0.0,False,0,19,53,261,19729,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-16255,0.2846,0.0,False,0,29,29,184,25848,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-12406,0.9542,0.0,False,0,48,18,251,54488,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-19637,6.5108,0.0,False,0,159,2,204,110997,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-16938,0.4638,0.0,False,0,48,41,220,25684,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-13658,7.3519,0.0,False,0,245,5,193,80897,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-10554,1.2768,0.0,False,0,54,0,343,63528,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-15599,3.1682,0.0,False,0,90,3,706,91097,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-20916,0.1529,0.0,False,0,12,135,414,34037,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-13279,2.0597,0.0,False,0,127,5,145,44764,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-16766,0.5401,0.0,False,0,35,9,183,41247,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pytest-dev__pytest-7982,0.2603,0.0,False,0,29,42,266,22724,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pylint-dev__pylint-4551,4.0482,0.0,False,0,173,4,228,76098,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14915,0.839,0.0,False,0,58,4,307,39764,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-16145,3.5271,0.0,False,0,193,16,220,48700,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sphinx-doc__sphinx-7985,0.4768,0.0,False,0,29,18,322,44389,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-15315,0.588,0.0,False,0,34,12,267,45854,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pydata__xarray-4695,0.0,0.0,False,0,0,0,0,0,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-13809,1.6427,0.0,False,0,90,15,162,49828,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-21596,0.9351,0.0,False,0,56,13,209,44434,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14155,0.7507,0.0,False,0,48,10,207,43247,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-11555,0.2237,0.0,False,0,19,40,218,32856,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pylint-dev__pylint-4604,1.3173,0.0,False,0,61,13,189,62511,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-11239,0.217,0.0,False,0,36,34,120,16286,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14017,0.1764,0.0,False,0,19,52,229,25830,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-16886,0.2523,0.0,False,0,32,15,102,22177,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14725,9.7289,0.0,False,0,232,3,233,112523,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-12708,0.8105,0.0,False,0,72,0,218,30333,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,scikit-learn__scikit-learn-14710,4.8348,0.0,False,0,122,1,978,101785,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-9296,0.2017,0.0,False,0,18,31,215,32139,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,matplotlib__matplotlib-25122,0.5434,0.0,False,0,28,16,414,52296,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14792,1.6489,0.0,False,0,64,11,337,68691,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,matplotlib__matplotlib-24026,0.0997,0.0,False,0,18,37,329,13870,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,matplotlib__matplotlib-25332,7.7013,0.0,False,0,136,7,410,151519,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-15916,0.7075,0.0,False,0,44,19,230,43220,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-11133,1.0274,0.0,False,0,80,5,155,34771,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-15104,0.0652,0.0,False,0,18,41,113,10160,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,psf__requests-1766,0.2746,0.0,False,0,25,0,311,28342,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sphinx-doc__sphinx-8593,9.5599,0.0,False,0,226,4,232,113007,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-21379,14.4875,0.0,False,0,244,3,154,159796,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-11163,0.2642,0.0,False,0,24,44,322,29144,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-16116,0.0,0.0,False,0,0,0,0,0,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-16493,3.5302,0.0,False,0,134,13,427,68759,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-20590,0.2028,0.0,False,0,22,14,162,26328,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-19040,1.0767,0.0,False,0,47,12,857,57038,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-15161,1.4077,0.0,False,0,79,9,174,57949,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-11999,4.4121,0.0,False,0,82,15,3058,134366,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-12209,3.5283,0.0,False,0,150,17,193,63668,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,matplotlib__matplotlib-22871,0.3902,0.0,False,0,28,14,184,38059,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,scikit-learn__scikit-learn-13124,0.2725,0.0,False,0,22,30,429,32200,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-16082,6.4865,0.0,False,0,222,2,263,79070,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-16333,0.1504,0.0,False,0,21,36,227,21984,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-11880,0.1306,0.0,False,0,31,22,108,11087,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-13401,0.4759,0.0,False,0,43,55,306,29642,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pydata__xarray-3305,0.9271,0.0,False,0,82,4,162,30254,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14315,4.9497,0.0,False,0,179,4,194,73689,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-16667,0.502,0.0,False,0,47,0,167,30733,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,matplotlib__matplotlib-23299,0.4591,0.0,False,0,36,29,518,32621,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pydata__xarray-7393,1.5809,0.0,False,0,68,3,274,60628,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sphinx-doc__sphinx-8120,16.1141,0.0,False,0,201,8,381,216716,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-22080,4.32,0.0,False,0,80,34,1365,139906,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-11451,0.0565,0.0,False,0,11,100,169,14024,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pytest-dev__pytest-7205,4.3421,0.0,False,0,159,6,232,72276,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,astropy__astropy-7671,0.1955,0.0,False,0,23,43,262,23216,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-13569,0.657,0.0,False,0,47,8,251,37606,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,scikit-learn__scikit-learn-14629,1.4664,0.0,False,0,103,3,210,37191,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-20801,2.2861,0.0,False,0,108,17,192,56091,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-12143,3.5172,0.0,False,0,203,2,157,46121,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,scikit-learn__scikit-learn-11310,0.2335,0.0,False,0,26,19,286,23309,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sphinx-doc__sphinx-10673,0.356,0.0,False,0,22,57,692,40991,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-11532,0.4825,0.0,False,0,46,19,188,28099,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,astropy__astropy-14309,1.1998,0.0,False,0,67,72,327,47625,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-11603,2.0883,0.0,False,0,95,3,271,59438,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-15814,0.3021,0.0,False,0,31,75,206,30765,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sphinx-doc__sphinx-8269,0.9503,0.0,False,0,53,24,258,46845,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-15277,0.465,0.0,False,0,59,20,122,23752,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sphinx-doc__sphinx-8638,2.5218,0.0,False,0,108,9,243,62625,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-11095,0.9693,0.0,False,0,74,15,236,34717,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-13933,0.466,0.0,False,0,49,10,171,29784,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pylint-dev__pylint-6903,0.4144,0.0,False,0,31,15,208,35481,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,matplotlib__matplotlib-25960,2.8397,0.0,False,0,105,23,344,70491,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-18189,0.6051,0.0,False,0,32,15,528,48598,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-15731,0.3948,0.0,False,0,45,15,136,27230,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sphinx-doc__sphinx-9698,3.4995,0.0,False,0,121,5,1440,72651,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sphinx-doc__sphinx-9367,0.1997,0.0,False,0,23,24,208,22658,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14493,1.2306,0.0,False,0,100,14,195,31896,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14631,9.8545,0.0,False,0,225,3,235,117340,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pylint-dev__pylint-7080,5.0582,0.0,False,0,97,6,1520,135995,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-17139,0.1721,0.0,False,0,26,57,208,17082,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-12754,10.1052,0.0,False,0,215,5,291,126899,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pylint-dev__pylint-7277,1.9064,0.0,False,0,71,20,901,68257,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-16136,6.3743,0.0,False,0,244,1,234,68904,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-12419,0.4759,0.0,False,0,37,11,108,35718,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,astropy__astropy-13579,2.9203,0.0,False,0,93,3,324,86684,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,astropy__astropy-14598,6.656,0.0,False,0,145,6,643,124333,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-15382,4.78,0.0,False,0,159,6,253,81700,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pallets__flask-5014,0.0786,0.0,False,0,10,26,201,22238,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-12262,0.8848,0.0,False,0,64,7,234,37429,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-12774,1.7193,0.0,False,0,100,3,240,45940,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pytest-dev__pytest-5840,0.3144,0.0,False,0,25,21,359,32476,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-23262,6.9063,0.0,False,0,180,1,200,102992,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-13794,1.2558,0.0,False,0,61,4,286,56146,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-15022,1.3675,0.0,False,0,60,33,706,56817,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pytest-dev__pytest-7236,3.0617,0.0,False,0,147,6,237,54315,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,scikit-learn__scikit-learn-13142,0.3346,0.0,False,0,26,15,360,37163,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-16139,1.8125,0.0,False,0,117,4,158,40782,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-16792,0.9372,0.0,False,0,45,16,203,55160,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-11292,0.0419,0.0,False,0,9,107,205,12209,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14122,4.6138,0.0,False,0,158,0,314,77838,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-14765,0.216,0.0,False,0,18,23,167,35702,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-15503,3.4862,0.0,False,0,86,8,361,108619,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-13417,6.7855,0.0,False,0,189,3,243,97218,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pydata__xarray-6599,13.5587,0.0,False,0,221,3,337,166030,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-19783,0.6255,0.0,False,0,41,19,240,40455,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-13195,0.1699,0.0,False,0,23,24,258,19365,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sphinx-doc__sphinx-11510,1.8941,0.0,False,0,65,6,676,74028,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,sympy__sympy-15875,0.666,0.0,False,0,31,12,303,57557,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,django__django-15278,0.73,0.0,False,0,55,27,290,41829,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,scikit-learn__scikit-learn-14141,0.0756,0.0,False,0,11,33,152,19556,1,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,pytest-dev__pytest-8399,6.1136,0.0,False,0,152,5,361,107757,0,Raw Agent,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,django__django-14053,1.4041,0.0,False,0,250,15,431,13601,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,matplotlib__matplotlib-26466,1.3078,0.0,False,0,248,3,195,14489,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,sphinx-doc__sphinx-9230,1.9011,0.0,False,0,249,3,569,18959,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,psf__requests-6028,0.5357,0.0,False,0,89,19,348,15908,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,django__django-13344,1.3021,0.0,False,0,250,3,182,14439,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,sympy__sympy-18763,2.0795,0.0,False,0,250,2,177,24792,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,matplotlib__matplotlib-24627,1.3084,0.0,False,0,249,3,170,14661,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,sympy__sympy-20428,0.3014,0.0,False,0,36,14,206,25161,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,django__django-16950,2.4568,0.0,False,0,250,33,375,28209,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,matplotlib__matplotlib-20859,0.0189,0.0,False,0,7,118,177,7518,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,django__django-12276,0.0724,0.0,False,0,13,162,336,15479,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,django__django-13590,0.7823,0.0,False,0,129,4,216,17120,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,matplotlib__matplotlib-22865,1.5387,0.0,False,0,250,1,111,18113,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,django__django-11099,0.0695,0.0,False,0,18,48,121,11271,1,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,scikit-learn__scikit-learn-25973,0.1006,0.0,False,0,19,88,313,13986,1,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,pylint-dev__pylint-8898,3.0007,0.0,False,0,250,2,225,36528,0,Observation Masking,openhands
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,sphinx-doc__sphinx-7889,0.7859,0.0,False,0,117,7,319,18163,1,Observation Masking,openhands
